Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Eye_Expression_Summary,Eye_Shape_Summary,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Raiser_Right,Mouth_Raiser_Left,Mouth_Stretcher_Right,Mouth_Stretcher_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_Upright,Mouth_Upper_Upleft,Mouth_Lower_Downright,Mouth_Lower_Downleft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_Upright_Morph,Tongue_Upleft_Morph,Tongue_Downright_Morph,Tongue_Downleft_Morph
1039.852,2025-10-08T00:21:44.3093730Z,638954797043093850,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00033,0.00025,0.00019,0.00521,0.00015,0.00011,0.00255,0.00487,0.00041,0.00477,0.00256,0.00589,0.03856,0.07292,0.00697,0.00432,0.00211,0.00055,0.01053,0.00193,0.00350,0.00529,0.00684,0.00715,0.00225,0.00274,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.871,2025-10-08T00:21:44.3279870Z,638954797043279900,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00120,0.00012,0.00010,0.00658,0.00007,0.00006,0.00207,0.00712,0.00020,0.00342,0.00128,0.00494,0.03772,0.07374,0.00619,0.00486,0.00106,0.00028,0.01089,0.00242,0.00320,0.00513,0.00591,0.00709,0.00113,0.00385,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.891,2025-10-08T00:21:44.3480270Z,638954797043480300,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00085,0.00096,0.00007,0.00698,0.00005,0.00008,0.00147,0.00557,0.00015,0.00387,0.00091,0.00466,0.03542,0.06819,0.00595,0.00501,0.00220,0.00019,0.01235,0.00316,0.00372,0.00508,0.00564,0.00647,0.00080,0.00418,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.924,2025-10-08T00:21:44.3814000Z,638954797043814130,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00054,0.00048,0.00003,0.00548,0.00003,0.00007,0.00369,0.00369,0.00007,0.00297,0.00046,0.00432,0.04562,0.08230,0.00568,0.00520,0.00110,0.00010,0.01180,0.00261,0.00434,0.00503,0.00675,0.00573,0.00040,0.00312,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.956,2025-10-08T00:21:44.4138240Z,638954797044138310,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00038,0.00024,0.00002,0.00671,0.00001,0.00007,0.00394,0.00275,0.00004,0.00397,0.00023,0.00415,0.03878,0.07803,0.00665,0.00530,0.00055,0.00108,0.00989,0.00234,0.00321,0.00500,0.00587,0.00680,0.00020,0.00404,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.981,2025-10-08T00:21:44.4380970Z,638954797044381000,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00033,0.00017,0.00001,0.00708,0.00001,0.00009,0.00279,0.00195,0.00233,0.00426,0.00016,0.00410,0.03617,0.07557,0.00786,0.00533,0.00184,0.00076,0.00932,0.00166,0.00227,0.00499,0.00561,0.00772,0.00014,0.00287,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.013,2025-10-08T00:21:44.4703840Z,638954797044704020,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00023,0.00070,0.00001,0.00635,0.00000,0.00007,0.00435,0.00188,0.00117,0.00316,0.00008,0.00404,0.03549,0.07405,0.00663,0.00267,0.00092,0.00141,0.01260,0.00331,0.00507,0.00498,0.00632,0.00635,0.00007,0.00246,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.047,2025-10-08T00:21:44.5039190Z,638954797045039330,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00022,0.00035,0.00100,0.00599,0.00103,0.00010,0.00218,0.00131,0.00567,0.00406,0.00107,0.00483,0.03327,0.06748,0.00601,0.00514,0.00149,0.00071,0.01193,0.00414,0.00502,0.00498,0.00565,0.00566,0.00134,0.00371,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.069,2025-10-08T00:21:44.5267640Z,638954797045267680,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00022,0.00018,0.00050,0.00499,0.00197,0.00011,0.00110,0.00119,0.00448,0.00452,0.00199,0.00440,0.03983,0.06938,0.00570,0.00369,0.00178,0.00036,0.01159,0.00208,0.00355,0.00745,0.00676,0.00532,0.00067,0.00331,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.102,2025-10-08T00:21:44.5593450Z,638954797045593740,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00022,0.00009,0.00025,0.00647,0.00099,0.00008,0.00350,0.00112,0.00388,0.00227,0.00245,0.00419,0.04023,0.07136,0.00555,0.00343,0.00089,0.00163,0.00978,0.00207,0.00281,0.00622,0.00587,0.00762,0.00034,0.00414,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.135,2025-10-08T00:21:44.5927710Z,638954797045927820,STEVEN100725C,Rod and Frame Postest,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00022,0.00004,0.00112,0.00605,0.00050,0.00206,0.00470,0.00411,0.00358,0.00361,0.00225,0.00524,0.03795,0.06886,0.00547,0.00441,0.00045,0.00082,0.00887,0.00351,0.00388,0.00560,0.00687,0.00630,0.00017,0.00310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
