Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Eye_Expression_Summary,Eye_Shape_Summary,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Raiser_Right,Mouth_Raiser_Left,Mouth_Stretcher_Right,Mouth_Stretcher_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_Upright,Mouth_Upper_Upleft,Mouth_Lower_Downright,Mouth_Lower_Downleft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_Upright_Morph,Tongue_Upleft_Morph,Tongue_Downright_Morph,Tongue_Downleft_Morph
557.006,2025-10-08T00:13:41.4631830Z,638954792214631890,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00006,0.00042,0.00058,0.00710,0.00110,0.00579,0.00134,0.01235,0.00030,0.00270,0.00254,0.00048,0.05049,0.05343,0.00882,0.00894,0.00344,0.00295,0.00042,0.00143,0.00402,0.00721,0.00387,0.00755,0.00006,0.00490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.023,2025-10-08T00:13:41.4807840Z,638954792214807860,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00006,0.00021,0.00029,0.00753,0.00158,0.00469,0.00144,0.01135,0.00015,0.00136,0.00128,0.00106,0.05276,0.05611,0.00980,0.00986,0.00173,0.00148,0.00021,0.00175,0.00305,0.00754,0.00399,0.00874,0.00003,0.00493,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.065,2025-10-08T00:13:41.5219240Z,638954792215219320,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00007,0.00011,0.00015,0.00774,0.00079,0.00813,0.00072,0.00772,0.00008,0.00316,0.00312,0.00053,0.05082,0.05395,0.01029,0.00875,0.00232,0.00322,0.00175,0.00233,0.00256,0.00874,0.00448,0.00789,0.00001,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.108,2025-10-08T00:13:41.5656320Z,638954792215656390,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00006,0.00050,0.00005,0.00672,0.00131,0.00379,0.00210,0.01227,0.00003,0.00257,0.00329,0.00019,0.04678,0.05225,0.01107,0.00927,0.00082,0.00114,0.00062,0.00083,0.00091,0.00849,0.00625,0.00849,0.00001,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.131,2025-10-08T00:13:41.5886680Z,638954792215886710,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00006,0.00035,0.00004,0.00592,0.00093,0.00446,0.00148,0.00988,0.00002,0.00182,0.00233,0.00013,0.04764,0.05151,0.01099,0.00971,0.00058,0.00081,0.00044,0.00059,0.00209,0.00746,0.00587,0.00891,0.00000,0.00387,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.155,2025-10-08T00:13:41.6120870Z,638954792216120890,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00006,0.00025,0.00003,0.00535,0.00066,0.00316,0.00213,0.01131,0.00001,0.00274,0.00310,0.00010,0.05114,0.05389,0.01093,0.01003,0.00041,0.00057,0.00031,0.00186,0.00148,0.00674,0.00561,0.00776,0.00000,0.00419,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.175,2025-10-08T00:13:41.6327770Z,638954792216327790,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00007,0.00013,0.00001,0.00665,0.00178,0.00737,0.00107,0.01615,0.00001,0.00138,0.00156,0.00087,0.05436,0.05573,0.01309,0.01152,0.00021,0.00029,0.00180,0.00196,0.00074,0.00586,0.00529,0.00637,0.00000,0.00355,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.199,2025-10-08T00:13:41.6559470Z,638954792216559500,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00007,0.00009,0.00001,0.00587,0.00271,0.00700,0.00076,0.01575,0.00000,0.00097,0.00110,0.00062,0.04576,0.05108,0.01399,0.01288,0.00015,0.00020,0.00127,0.00284,0.00053,0.00705,0.00520,0.00596,0.00000,0.00397,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.221,2025-10-08T00:13:41.6786300Z,638954792216786330,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00007,0.00006,0.00001,0.00648,0.00192,0.00674,0.00054,0.01235,0.00000,0.00069,0.00078,0.00160,0.04546,0.05213,0.01306,0.01070,0.00155,0.00014,0.00090,0.00201,0.00037,0.00789,0.00513,0.00567,0.00000,0.00426,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
557.243,2025-10-08T00:13:41.7000860Z,638954792217000890,STEVEN100725C,Turret Cockpit Illusion Simulation,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00003,0.00159,0.00212,0.00523,0.00199,0.00643,0.00027,0.01577,0.00000,0.00137,0.00184,0.00162,0.04692,0.05051,0.01035,0.00917,0.00078,0.00007,0.00045,0.00204,0.00121,0.00644,0.00505,0.00635,0.00000,0.00461,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
