Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Condition,Wave,Trial,TargetName,Outcome,ReactionTime_ms,RT_s, Gaze_Precision, Locked_On_Target_Status, Gaze_Hit_Location_x, Gaze_Hit_Location_y,Gaze_Hit_Location_z, Reticle_Aim_Direction_x,Reticle_Aim_Direction_y, Reticle_Aim_Direction_z, Target_Distance_From_Camera
746.440,2025-10-08T00:16:50.8976410Z,638954794108976510,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,9,Target_Center,Incorrect,468,0.47,0.892,True,0.080,0.781,9.500,0.026,0.953,3.049,9.954
747.400,2025-10-08T00:16:51.8576610Z,638954794118576710,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,9,Target_Center,Incorrect,436,0.44,0.985,True,-0.193,1.316,9.500,-0.057,1.137,3.047,9.956
748.503,2025-10-08T00:16:52.9607110Z,638954794129607220,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,10,Target_Left,Hit,580,0.58,0.983,True,-4.057,1.159,9.500,-1.208,1.082,2.800,10.725
749.661,2025-10-08T00:16:54.1185770Z,638954794141185860,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,11,Target_Left,Hit,632,0.63,0.995,True,-3.936,1.265,9.500,-1.187,1.112,2.808,10.726
750.728,2025-10-08T00:16:55.1854330Z,638954794151854380,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,12,Target_Left,Hit,557,0.56,0.915,True,-4.493,1.485,9.500,-1.313,1.174,2.749,10.726
751.744,2025-10-08T00:16:56.2013320Z,638954794162013420,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,12,Target_Center,Incorrect,501,0.50,0.869,True,-0.017,0.702,9.500,-0.007,0.904,3.048,9.954
752.827,2025-10-08T00:16:57.2839060Z,638954794172839120,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,13,Target_Up,Hit,571,0.57,0.993,True,0.053,5.238,9.500,0.016,2.275,2.780,10.852
753.998,2025-10-08T00:16:58.4549510Z,638954794184549580,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,14,Target_Up,Hit,649,0.65,0.932,True,0.012,4.916,9.500,0.002,2.201,2.813,10.851
755.073,2025-10-08T00:16:59.5304270Z,638954794195304360,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,15,Target_Right,Hit,557,0.56,0.723,True,2.916,1.358,9.500,0.909,1.144,2.909,10.726
756.192,2025-10-08T00:17:00.6495150Z,638954794206495220,STEVEN100725C,Simple Disorientation Tasks,Baseline, 1,16,Target_Up,Hit,594,0.59,0.949,True,0.007,5.739,9.500,0.003,2.398,2.721,10.853
