Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,ButtonPressed,RodAngle
1019.318,2025-10-08T00:21:23.7750620Z,638954796837750690,STEVEN100725C,Simple Disorientation Tasks,RotateLeft,363.72
1031.614,2025-10-08T00:21:36.0716030Z,638954796960716130,STEVEN100725C,Simple Disorientation Tasks,RotateLeft,364.38
1032.796,2025-10-08T00:21:37.2536440Z,638954796972536550,STEVEN100725C,Simple Disorientation Tasks,RotateLeft,365.05
1040.392,2025-10-08T00:21:44.8494020Z,638954797048494230,STEVEN100725C,Rod and Frame Postest,RotateLeft,365.73
1040.392,2025-10-08T00:21:44.8494690Z,638954797048494720,STEVEN100725C,Rod and Frame Postest,RotateLeft,354.68
1040.736,2025-10-08T00:21:45.1928870Z,638954797051929200,STEVEN100725C,Rod and Frame Postest,RotateLeft,366.40
1040.736,2025-10-08T00:21:45.1931000Z,638954797051931090,STEVEN100725C,Rod and Frame Postest,RotateLeft,355.35
1040.928,2025-10-08T00:21:45.3852780Z,638954797053852910,STEVEN100725C,Rod and Frame Postest,RotateLeft,366.86
1040.928,2025-10-08T00:21:45.3853250Z,638954797053853270,STEVEN100725C,Rod and Frame Postest,RotateLeft,355.80
1041.094,2025-10-08T00:21:45.5515780Z,638954797055515890,STEVEN100725C,Rod and Frame Postest,RotateLeft,367.56
1041.094,2025-10-08T00:21:45.5516320Z,638954797055516360,STEVEN100725C,Rod and Frame Postest,RotateLeft,356.51
1041.450,2025-10-08T00:21:45.9073380Z,638954797059073490,STEVEN100725C,Rod and Frame Postest,RotateLeft,368.04
1041.450,2025-10-08T00:21:45.9073800Z,638954797059073820,STEVEN100725C,Rod and Frame Postest,RotateLeft,356.99
1041.651,2025-10-08T00:21:46.1081160Z,638954797061081270,STEVEN100725C,Rod and Frame Postest,RotateLeft,368.60
1041.651,2025-10-08T00:21:46.1081570Z,638954797061081590,STEVEN100725C,Rod and Frame Postest,RotateLeft,357.55
1041.827,2025-10-08T00:21:46.2844410Z,638954797062844490,STEVEN100725C,Rod and Frame Postest,RotateLeft,369.23
1041.827,2025-10-08T00:21:46.2844810Z,638954797062844830,STEVEN100725C,Rod and Frame Postest,RotateLeft,358.18
1042.005,2025-10-08T00:21:46.4625530Z,638954797064625610,STEVEN100725C,Rod and Frame Postest,RotateLeft,369.79
1042.005,2025-10-08T00:21:46.4625860Z,638954797064625880,STEVEN100725C,Rod and Frame Postest,RotateLeft,358.74
1042.205,2025-10-08T00:21:46.6619050Z,638954797066619150,STEVEN100725C,Rod and Frame Postest,RotateLeft,370.41
1042.205,2025-10-08T00:21:46.6619870Z,638954797066619900,STEVEN100725C,Rod and Frame Postest,RotateLeft,359.36
1042.384,2025-10-08T00:21:46.8415680Z,638954797068415810,STEVEN100725C,Rod and Frame Postest,RotateLeft,371.01
1042.384,2025-10-08T00:21:46.8416160Z,638954797068416180,STEVEN100725C,Rod and Frame Postest,RotateLeft,359.96
1042.570,2025-10-08T00:21:47.0275440Z,638954797070275550,STEVEN100725C,Rod and Frame Postest,RotateLeft,371.53
1042.570,2025-10-08T00:21:47.0275850Z,638954797070275870,STEVEN100725C,Rod and Frame Postest,RotateLeft,360.48
1042.766,2025-10-08T00:21:47.2232580Z,638954797072232670,STEVEN100725C,Rod and Frame Postest,RotateLeft,371.94
1042.766,2025-10-08T00:21:47.2233020Z,638954797072233050,STEVEN100725C,Rod and Frame Postest,RotateLeft,360.89
1043.309,2025-10-08T00:21:47.7666410Z,638954797077666550,STEVEN100725C,Rod and Frame Postest,RotateLeft,372.55
1043.309,2025-10-08T00:21:47.7666870Z,638954797077666880,STEVEN100725C,Rod and Frame Postest,RotateLeft,361.49
1044.201,2025-10-08T00:21:48.6583240Z,638954797086583360,STEVEN100725C,Rod and Frame Postest,RotateRight,371.88
1044.201,2025-10-08T00:21:48.6583740Z,638954797086583760,STEVEN100725C,Rod and Frame Postest,RotateRight,360.83
1044.469,2025-10-08T00:21:48.9267240Z,638954797089267370,STEVEN100725C,Rod and Frame Postest,RotateLeft,372.31
1044.469,2025-10-08T00:21:48.9267730Z,638954797089267750,STEVEN100725C,Rod and Frame Postest,RotateLeft,361.25
1045.481,2025-10-08T00:21:49.9380140Z,638954797099380310,STEVEN100725C,Rod and Frame Postest,RotateLeft,372.86
1045.481,2025-10-08T00:21:49.9380790Z,638954797099380800,STEVEN100725C,Rod and Frame Postest,RotateLeft,361.81
1046.531,2025-10-08T00:21:50.9879120Z,638954797109879210,STEVEN100725C,Rod and Frame Postest,RotateRight,372.13
1046.531,2025-10-08T00:21:50.9879560Z,638954797109879570,STEVEN100725C,Rod and Frame Postest,RotateRight,361.08
1046.865,2025-10-08T00:21:51.3224590Z,638954797113224750,STEVEN100725C,Rod and Frame Postest,RotateLeft,372.55
1046.865,2025-10-08T00:21:51.3225190Z,638954797113225220,STEVEN100725C,Rod and Frame Postest,RotateLeft,361.50
1047.812,2025-10-08T00:21:52.2697760Z,638954797122697880,STEVEN100725C,Rod and Frame Postest,RotateLeft,373.02
1047.812,2025-10-08T00:21:52.2698190Z,638954797122698220,STEVEN100725C,Rod and Frame Postest,RotateLeft,361.97
1048.278,2025-10-08T00:21:52.7351140Z,638954797127351300,STEVEN100725C,Rod and Frame Postest,RotateRight,372.31
1048.278,2025-10-08T00:21:52.7351620Z,638954797127351640,STEVEN100725C,Rod and Frame Postest,RotateRight,361.26
1053.123,2025-10-08T00:21:57.5802930Z,638954797175803050,STEVEN100725C,Rod and Frame Postest,RotateLeft,372.99
1053.123,2025-10-08T00:21:57.5803430Z,638954797175803440,STEVEN100725C,Rod and Frame Postest,RotateLeft,361.94
1054.176,2025-10-08T00:21:58.6332620Z,638954797186332750,STEVEN100725C,Rod and Frame Postest,RotateRight,372.55
1054.176,2025-10-08T00:21:58.6333130Z,638954797186333150,STEVEN100725C,Rod and Frame Postest,RotateRight,361.50
1056.808,2025-10-08T00:22:01.2651160Z,638954797212651260,STEVEN100725C,Rod and Frame Postest,RotateRight,372.06
1056.808,2025-10-08T00:22:01.2651720Z,638954797212651740,STEVEN100725C,Rod and Frame Postest,RotateRight,361.01
1059.327,2025-10-08T00:22:03.7842840Z,638954797237842910,STEVEN100725C,Rod and Frame Postest,Confirm,361.01
