Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,CurrentWave, CurrentTrial,TargetName,Outcome,ReactionTime;Target_Rel_X,Target_Rel_Y,Target_Rel_Z,TotalTargets,Correct,Miss
508.469,2025-10-08T00:12:52.9266300Z,638954791729266430,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (6),Correct,1679.0000,-0.035,-0.440,1.235,31,31,0
509.554,2025-10-08T00:12:54.0109240Z,638954791740109420,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (20),Correct,802.0000,-0.170,-0.424,1.450,32,32,0
510.510,2025-10-08T00:12:54.9672680Z,638954791749672740,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (5),Correct,692.0000,-0.054,-0.044,1.337,33,33,0
511.966,2025-10-08T00:12:56.4237000Z,638954791764237100,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (20),Correct,1187.0000,-0.110,-0.622,1.389,34,34,0
513.673,2025-10-08T00:12:58.1304520Z,638954791781304570,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (4),Correct,1438.0000,0.031,-0.064,1.338,35,35,0
515.141,2025-10-08T00:12:59.5988210Z,638954791795988290,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (13),Correct,1202.0000,0.196,0.101,2.071,36,36,0
516.511,2025-10-08T00:13:00.9678890Z,638954791809678960,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (18),Correct,1112.0000,0.344,-0.372,1.626,37,37,0
517.759,2025-10-08T00:13:02.2167730Z,638954791822167790,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (7),Correct,989.0000,0.069,0.103,1.273,38,38,0
518.874,2025-10-08T00:13:03.3311780Z,638954791833311870,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (9),Correct,855.0000,0.087,-0.054,1.462,39,39,0
520.377,2025-10-08T00:13:04.8340630Z,638954791848340690,STEVEN100725C,Rapid Scanning Task,4,0,RapidScanningTask_Stimulus (2),Correct,1245.0000,-0.104,-0.051,1.655,40,40,0
