Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Left_Eye_Position_X,Left_Eye_Position_Y,Left_Eye_Position_Z,Left_Eye_Rotation_W,Left_Eye_Rotation_X,Left_Eye_Rotation_Y,Left_Eye_Rotation_Z,Left_Eye_Gaze_Position_X,Left_Eye_Gaze_Position_Y,Left_Eye_Gaze_Position_Z,Left_Eye_Gaze_Rotation_W,Left_Eye_Gaze_Rotation_X,Left_Eye_Gaze_Rotation_Y,Left_Eye_Gaze_Rotation_Z,Left_Eye_Gaze_Direction_X,Left_Eye_Gaze_Direction_Y,Left_Eye_Gaze_Direction_Z,Left_Eye_Velocity_X,Left_Eye_Velocity_Y,Left_Eye_Velocity_Z,Left_Eye_AngularVelocity_X,Left_Eye_AngularVelocity_Y,Left_Eye_AngularVelocity_Z,Left_Eye_Acceleration_X,Left_Eye_Acceleration_Y,Left_Eye_Acceleration_Z,Left_Eye_AngularAcceleration_X,Left_Eye_AngularAcceleration_Y,Left_Eye_AngularAcceleration_Z,Left_Eye_OpenAmount,Left_Pupil_Diameter,Left_Pupil_Position_X,Left_Pupil_Position_Y,Left_Eye_Openness,Left_Eye_Squeeze,Left_Eye_Wide,Left_Eye_Blink,Left_Eye_Down,Left_Eye_Out,Left_Eye_In,Left_Eye_Up,Right_Eye_Position_X,Right_Eye_Position_Y,Right_Eye_Position_Z,Right_Eye_Rotation_W,Right_Eye_Rotation_X,Right_Eye_Rotation_Y,Right_Eye_Rotation_Z,Right_Eye_Gaze_Position_X,Right_Eye_Gaze_Position_Y,Right_Eye_Gaze_Position_Z,Right_Eye_Gaze_Rotation_W,Right_Eye_Gaze_Rotation_X,Right_Eye_Gaze_Rotation_Y,Right_Eye_Gaze_Rotation_Z,Right_Eye_Gaze_Direction_X,Right_Eye_Gaze_Direction_Y,Right_Eye_Gaze_Direction_Z,Right_Eye_Velocity_X,Right_Eye_Velocity_Y,Right_Eye_Velocity_Z,Right_Eye_AngularVelocity_X,Right_Eye_AngularVelocity_Y,Right_Eye_AngularVelocity_Z,Right_Eye_Acceleration_X,Right_Eye_Acceleration_Y,Right_Eye_Acceleration_Z,Right_Eye_AngularAcceleration_X,Right_Eye_AngularAcceleration_Y,Right_Eye_AngularAcceleration_Z,Right_Eye_OpenAmount,Right_Pupil_Diameter,Right_Pupil_Position_X,Right_Pupil_Position_Y,Right_Eye_Openness,Right_Eye_Squeeze,Right_Eye_Wide,Right_Eye_Blink,Right_Eye_Down,Right_Eye_Out,Right_Eye_In,Right_Eye_Up,IPD_inMeters,Center_Eye_Position_X,Center_Eye_Position_Y,Center_Eye_Position_Z,Center_Eye_Rotation_W,Center_Eye_Rotation_X,Center_Eye_Rotation_Y,Center_Eye_Rotation_Z,Center_Eye_Velocity_X,Center_Eye_Velocity_Y,Center_Eye_Velocity_Z,Center_Eye_AngularVelocity_X,Center_Eye_AngularVelocity_Y,Center_Eye_AngularVelocity_Z,Center_Eye_Acceleration_X,Center_Eye_Acceleration_Y,Center_Eye_Acceleration_Z,Center_Eye_AngularAcceleration_X,Center_Eye_AngularAcceleration_Y,Center_Eye_AngularAcceleration_Z,Gaze_Position_X,Gaze_Position_Y,Gaze_Position_Z,Gaze_Rotation_W,Gaze_Rotation_X,Gaze_Rotation_Y,Gaze_Rotation_Z,Gaze_Direction_X,Gaze_Direction_Y,Gaze_Direction_Z,Gaze_Velocity_X,Gaze_Velocity_Y,Gaze_Velocity_Z,Gaze_AngularVelocity_X,Gaze_AngularVelocity_Y,Gaze_AngularVelocity_Z,Gaze_Fixation_Point_Convergence_X,Gaze_Fixation_Point_Convergence_Y,Gaze_Fixation_Point_Convergence_Z,Convergence_Distance,Convergence_Angle_Degrees,Convergence_Angle_Radians
462.076,2025-10-08T00:12:06.5338040Z,638954791265338170,STEVEN100725C,Rapid Scanning Task,-0.03335,1.05421,0.04849,0.99927,-0.03623,0.01148,0.00288,-0.03207,1.05812,0.07121,-0.99949,0.02990,-0.01048,-0.00267,0.02079,0.05982,0.99799,-0.00229,-0.00008,0.00011,0.00149,-0.03771,0.01349,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.84482,0.51212,0.48090,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03522,1.05454,0.04688,0.99927,-0.03623,0.01148,0.00288,0.03496,1.05734,0.07296,-0.99951,0.03055,0.00633,-0.00339,-0.01286,0.06103,0.99805,-0.00229,-0.00008,0.00011,0.00149,-0.03771,0.01349,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.89477,0.49539,0.52308,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00104,1.05438,0.04768,0.99926,-0.03622,0.01234,0.00260,-0.00229,-0.00008,0.00011,0.00149,-0.03771,0.01349,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00147,1.05773,0.07208,0.99954,-0.03025,0.00224,0.00295, 0.00429,0.06049,0.99816,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92925,0.03367
462.179,2025-10-08T00:12:06.6365070Z,638954791266365160,STEVEN100725C,Rapid Scanning Task,-0.03346,1.05422,0.04845,0.99927,-0.03648,0.01054,0.00314,-0.03219,1.05815,0.07114,-0.99984,0.01738,0.00008,-0.00333,-0.00027,0.03475,0.99940,0.00151,0.00031,-0.00025,-0.00633,0.02264,-0.01280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.92173,0.51200,0.48608,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03511,1.05458,0.04689,0.99927,-0.03648,0.01054,0.00314,0.03484,1.05740,0.07299,-0.99969,0.01804,0.01682,-0.00425,-0.03378,0.03593,0.99878,0.00151,0.00031,-0.00025,-0.00633,0.02264,-0.01280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.96093,0.50112,0.52770,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00093,1.05440,0.04767,0.99926,-0.03649,0.01139,0.00293,0.00151,0.00031,-0.00025,-0.00633,0.02264,-0.01280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00131,1.05777,0.07207,0.99979,-0.01805,-0.00846,0.00382, -0.01705,0.03603,0.99921,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92163,0.03354
462.193,2025-10-08T00:12:06.6505390Z,638954791266505500,STEVEN100725C,Rapid Scanning Task,-0.03324,1.05428,0.04849,0.99925,-0.03673,0.01235,0.00258,-0.03216,1.05816,0.07115,-0.99987,0.01607,0.00030,-0.00330,-0.00071,0.03213,0.99948,0.00226,0.00037,-0.00030,-0.00746,0.03813,-0.01197,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.92328,0.51194,0.48628,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03533,1.05457,0.04681,0.99925,-0.03673,0.01235,0.00258,0.03488,1.05741,0.07297,-0.99971,0.01674,0.01704,-0.00424,-0.03421,0.03332,0.99886,0.00226,0.00037,-0.00030,-0.00746,0.03813,-0.01197,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.95593,0.50117,0.52780,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00096,1.05441,0.04766,0.99926,-0.03658,0.01166,0.00286,0.00226,0.00037,-0.00030,-0.00746,0.03813,-0.01197,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00135,1.05778,0.07206,0.99982,-0.01676,-0.00865,0.00378, -0.01742,0.03346,0.99929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92122,0.03353
462.214,2025-10-08T00:12:06.6709910Z,638954791266710000,STEVEN100725C,Rapid Scanning Task,-0.03315,1.05430,0.04854,0.99923,-0.03680,0.01317,0.00251,-0.03208,1.05818,0.07117,-0.99989,0.01443,0.00002,-0.00318,-0.00013,0.02887,0.99958,0.00290,0.00026,-0.00024,-0.00511,0.05114,-0.01148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.91372,0.51212,0.48618,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03541,1.05457,0.04674,0.99923,-0.03680,0.01317,0.00251,0.03496,1.05741,0.07292,-0.99974,0.01511,0.01675,-0.00415,-0.03363,0.03007,0.99898,0.00290,0.00026,-0.00024,-0.00511,0.05114,-0.01148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.97737,0.50121,0.52780,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00101,1.05442,0.04765,0.99925,-0.03667,0.01209,0.00275,0.00290,0.00026,-0.00024,-0.00511,0.05114,-0.01148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00143,1.05779,0.07205,0.99984,-0.01510,-0.00866,0.00370, -0.01743,0.03014,0.99939,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92091,0.03353
462.238,2025-10-08T00:12:06.6948750Z,638954791266948910,STEVEN100725C,Rapid Scanning Task,-0.03307,1.05430,0.04859,0.99922,-0.03685,0.01398,0.00250,-0.03197,1.05820,0.07121,-0.99987,0.01557,-0.00057,-0.00303,0.00105,0.03114,0.99951,0.00293,0.00033,-0.00030,-0.00664,0.05556,-0.00547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.92655,0.51217,0.48629,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03549,1.05457,0.04669,0.99922,-0.03685,0.01398,0.00250,0.03507,1.05741,0.07287,-0.99973,0.01625,0.01616,-0.00399,-0.03245,0.03235,0.99895,0.00293,0.00033,-0.00030,-0.00664,0.05556,-0.00547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.98707,0.50129,0.52781,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00108,1.05443,0.04765,0.99924,-0.03674,0.01273,0.00261,0.00293,0.00033,-0.00030,-0.00664,0.05556,-0.00547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00154,1.05781,0.07204,0.99983,-0.01627,-0.00779,0.00352, -0.01568,0.03248,0.99935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92102,0.03353
462.260,2025-10-08T00:12:06.7172860Z,638954791267173020,STEVEN100725C,Rapid Scanning Task,-0.03300,1.05432,0.04862,0.99921,-0.03697,0.01458,0.00240,-0.03188,1.05822,0.07124,-0.99990,0.01417,-0.00030,-0.00294,0.00051,0.02833,0.99960,0.00288,0.00035,-0.00032,-0.00709,0.05362,-0.00695,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.93504,0.51240,0.48651,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03556,1.05457,0.04664,0.99921,-0.03697,0.01458,0.00240,0.03516,1.05741,0.07283,-0.99975,0.01485,0.01644,-0.00392,-0.03298,0.02956,0.99902,0.00288,0.00035,-0.00032,-0.00709,0.05362,-0.00695,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.98477,0.50131,0.52778,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00115,1.05443,0.04764,0.99923,-0.03682,0.01338,0.00247,0.00288,0.00035,-0.00032,-0.00709,0.05362,-0.00695,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00163,1.05782,0.07203,0.99985,-0.01487,-0.00806,0.00344, -0.01622,0.02969,0.99943,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92051,0.03352
462.293,2025-10-08T00:12:06.7505140Z,638954791267505490,STEVEN100725C,Rapid Scanning Task,-0.03289,1.05439,0.04865,0.99919,-0.03717,0.01534,0.00173,-0.03172,1.05828,0.07128,-0.99990,0.01407,-0.00159,-0.00248,0.00311,0.02815,0.99960,0.00300,0.00052,-0.00045,-0.01074,0.04925,-0.01850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.95913,0.51260,0.48663,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03567,1.05455,0.04657,0.99919,-0.03717,0.01534,0.00173,0.03532,1.05740,0.07275,-0.99977,0.01476,0.01515,-0.00347,-0.03039,0.02941,0.99911,0.00300,0.00052,-0.00045,-0.01074,0.04925,-0.01850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00836,0.50154,0.52779,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00126,1.05445,0.04763,0.99921,-0.03697,0.01423,0.00210,0.00300,0.00052,-0.00045,-0.01074,0.04925,-0.01850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00178,1.05784,0.07202,0.99986,-0.01477,-0.00681,0.00303, -0.01371,0.02949,0.99947,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92071,0.03352
462.314,2025-10-08T00:12:06.7713880Z,638954791267714170,STEVEN100725C,Rapid Scanning Task,-0.03285,1.05441,0.04867,0.99918,-0.03730,0.01569,0.00165,-0.03164,1.05830,0.07130,-0.99992,0.01248,-0.00224,-0.00223,0.00442,0.02497,0.99968,0.00199,0.00053,-0.00043,-0.01098,0.03754,-0.00414,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.96333,0.51265,0.48677,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03571,1.05455,0.04653,0.99918,-0.03730,0.01569,0.00165,0.03540,1.05740,0.07272,-0.99980,0.01317,0.01450,-0.00325,-0.02907,0.02625,0.99923,0.00199,0.00053,-0.00043,-0.01098,0.03754,-0.00414,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00822,0.50168,0.52769,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00132,1.05446,0.04762,0.99920,-0.03707,0.01470,0.00184,0.00199,0.00053,-0.00043,-0.01098,0.03754,-0.00414,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00187,1.05785,0.07201,0.99989,-0.01319,-0.00610,0.00276, -0.01228,0.02634,0.99958,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92040,0.03352
462.341,2025-10-08T00:12:06.7979740Z,638954791267979890,STEVEN100725C,Rapid Scanning Task,-0.03286,1.05440,0.04867,0.99918,-0.03738,0.01569,0.00185,-0.03159,1.05832,0.07132,-0.99994,0.01009,-0.00258,-0.00211,0.00512,0.02019,0.99978,0.00050,0.00036,-0.00027,-0.00748,0.01693,0.01115,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.97570,0.51272,0.48700,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03570,1.05457,0.04653,0.99918,-0.03738,0.01569,0.00185,0.03546,1.05740,0.07269,-0.99984,0.01079,0.01415,-0.00318,-0.02836,0.02148,0.99937,0.00050,0.00036,-0.00027,-0.00748,0.01693,0.01115,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.99987,0.50199,0.52768,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00136,1.05446,0.04761,0.99919,-0.03715,0.01506,0.00171,0.00050,0.00036,-0.00027,-0.00748,0.01693,0.01115,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00193,1.05786,0.07200,0.99992,-0.01081,-0.00574,0.00264, -0.01153,0.02158,0.99970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92000,0.03351
462.364,2025-10-08T00:12:06.8215710Z,638954791268215810,STEVEN100725C,Rapid Scanning Task,-0.03292,1.05437,0.04866,0.99919,-0.03729,0.01523,0.00210,-0.03158,1.05832,0.07132,-0.99995,0.00920,-0.00276,-0.00215,0.00548,0.01841,0.99982,-0.00083,0.00021,-0.00012,-0.00443,-0.00448,0.02016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.99177,0.51285,0.48697,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03563,1.05458,0.04655,0.99919,-0.03729,0.01523,0.00210,0.03546,1.05741,0.07268,-0.99985,0.00990,0.01397,-0.00323,-0.02800,0.01970,0.99941,-0.00083,0.00021,-0.00012,-0.00443,-0.00448,0.02016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01773,0.50211,0.52778,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,0.00137,1.05447,0.04761,0.99919,-0.03716,0.01515,0.00175,-0.00083,0.00021,-0.00012,-0.00443,-0.00448,0.02016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00194,1.05786,0.07200,0.99993,-0.00992,-0.00554,0.00268, -0.01113,0.01981,0.99974,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.91979,0.03351
