Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Eye_Expression_Summary,Eye_Shape_Summary,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Raiser_Right,Mouth_Raiser_Left,Mouth_Stretcher_Right,Mouth_Stretcher_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_Upright,Mouth_Upper_Upleft,Mouth_Lower_Downright,Mouth_Lower_Downleft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_Upright_Morph,Tongue_Upleft_Morph,Tongue_Downright_Morph,Tongue_Downleft_Morph
93.354,2025-10-08T00:05:57.8109240Z,638954787578109320,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.09235,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0924),0.00000,0.00115,0.00001,0.00516,0.00000,0.00000,0.04427,0.04076,0.00000,0.00086,0.00057,0.00175,0.18764,0.28191,0.00550,0.00362,0.00056,0.00147,0.00095,0.00389,0.00227,0.00313,0.00672,0.00491,0.00002,0.00279,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.371,2025-10-08T00:05:57.8281040Z,638954787578281090,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.09405,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0941),0.00000,0.00115,0.00001,0.00655,0.00000,0.00000,0.04941,0.03837,0.00000,0.00291,0.00174,0.00286,0.19229,0.27612,0.00656,0.00562,0.00028,0.00074,0.00048,0.00298,0.00259,0.00157,0.00585,0.00639,0.00001,0.00285,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.396,2025-10-08T00:05:57.8536250Z,638954787578536390,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.09924,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0992),0.00059,0.00081,0.00001,0.00580,0.00000,0.00000,0.05092,0.03766,0.00000,0.00351,0.00123,0.00318,0.19928,0.28258,0.00622,0.00398,0.00020,0.00052,0.00266,0.00356,0.00473,0.00256,0.00704,0.00598,0.00001,0.00347,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.418,2025-10-08T00:05:57.8752860Z,638954787578752890,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.11036,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1104),0.00030,0.00098,0.00000,0.00373,0.00000,0.00000,0.05071,0.03889,0.00000,0.00176,0.00207,0.00358,0.18337,0.27030,0.00581,0.00357,0.00010,0.00026,0.00298,0.00426,0.00485,0.00376,0.00601,0.00548,0.00000,0.00319,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.439,2025-10-08T00:05:57.8968090Z,638954787578968110,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12015,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1202),0.00021,0.00103,0.00000,0.00496,0.00000,0.00000,0.04896,0.03804,0.00000,0.00125,0.00146,0.00370,0.15744,0.25454,0.00569,0.00410,0.00152,0.00019,0.00211,0.00302,0.00489,0.00411,0.00571,0.00388,0.00000,0.00371,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.472,2025-10-08T00:05:57.9293630Z,638954787579293710,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12281,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1228),0.00011,0.00109,0.00000,0.00447,0.00000,0.00000,0.04973,0.04202,0.00000,0.00063,0.00073,0.00301,0.15295,0.25486,0.00554,0.00520,0.00179,0.00009,0.00106,0.00297,0.00390,0.00599,0.00679,0.00485,0.00000,0.00434,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.508,2025-10-08T00:05:57.9656340Z,638954787579656430,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12285,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1228),0.00005,0.00112,0.00068,0.00423,0.00000,0.00000,0.04723,0.03900,0.00000,0.00031,0.00037,0.00267,0.17334,0.26381,0.00390,0.00373,0.00235,0.00005,0.00217,0.00396,0.00443,0.00403,0.00588,0.00243,0.00000,0.00320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.532,2025-10-08T00:05:57.9892680Z,638954787579892710,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12243,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1224),0.00004,0.00113,0.00116,0.00415,0.00000,0.00000,0.04650,0.03811,0.00000,0.00022,0.00026,0.00189,0.18151,0.26734,0.00433,0.00421,0.00166,0.00003,0.00154,0.00281,0.00459,0.00286,0.00562,0.00172,0.00000,0.00372,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.561,2025-10-08T00:05:58.0187060Z,638954787580187160,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12165,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1217),0.00044,0.00090,0.00058,0.00489,0.00000,0.00000,0.04561,0.03704,0.00000,0.00114,0.00013,0.00095,0.17200,0.27098,0.00329,0.00369,0.00083,0.00002,0.00309,0.00141,0.00478,0.00143,0.00427,0.00582,0.00000,0.00434,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.585,2025-10-08T00:05:58.0427560Z,638954787580427580,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12060,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1206),0.00022,0.00102,0.00146,0.00443,0.00000,0.00000,0.04516,0.03944,0.00000,0.00160,0.00007,0.00164,0.19776,0.28830,0.00434,0.00454,0.00042,0.00001,0.00155,0.00173,0.00385,0.00217,0.00462,0.00540,0.00000,0.00466,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.617,2025-10-08T00:05:58.0743710Z,638954787580743810,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.11952,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1195),0.00011,0.00109,0.00073,0.00421,0.00000,0.00000,0.04782,0.03770,0.00000,0.00225,0.00003,0.00082,0.15827,0.26818,0.00440,0.00339,0.00166,0.00000,0.00078,0.00087,0.00441,0.00212,0.00377,0.00518,0.00000,0.00481,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.652,2025-10-08T00:05:58.1093500Z,638954787581093590,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12006,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1201),0.00006,0.00112,0.00105,0.00409,0.00000,0.00000,0.04627,0.03683,0.00000,0.00113,0.00002,0.00157,0.18127,0.27140,0.00490,0.00282,0.00186,0.00145,0.00039,0.00189,0.00366,0.00106,0.00334,0.00611,0.00000,0.00387,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.675,2025-10-08T00:05:58.1325480Z,638954787581325500,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12381,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1238),0.00004,0.00113,0.00074,0.00406,0.00000,0.00000,0.04870,0.03658,0.00000,0.00080,0.00001,0.00111,0.16175,0.26837,0.00504,0.00199,0.00132,0.00103,0.00260,0.00279,0.00404,0.00220,0.00382,0.00722,0.00000,0.00419,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.707,2025-10-08T00:05:58.1647900Z,638954787581648940,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.12409,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.1241),0.00002,0.00114,0.00037,0.00518,0.00000,0.00000,0.04671,0.03541,0.00000,0.00143,0.00146,0.00254,0.15040,0.25691,0.00410,0.00369,0.00211,0.00052,0.00130,0.00243,0.00451,0.00255,0.00439,0.00755,0.00000,0.00355,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.741,2025-10-08T00:05:58.1981850Z,638954787581981940,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.09629,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0963),0.00001,0.00114,0.00019,0.00574,0.00103,0.00000,0.04860,0.03568,0.00000,0.00319,0.00218,0.00292,0.12954,0.24781,0.00475,0.00342,0.00106,0.00026,0.00462,0.00122,0.00371,0.00231,0.00571,0.00729,0.00000,0.00426,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.764,2025-10-08T00:05:58.2212070Z,638954787582212090,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.05556,Dominant Shape: XR_EYE_EXPRESSION_LEFT_DOWN_HTC (0.1379),0.00001,0.00114,0.00013,0.00523,0.00073,0.00000,0.04747,0.03576,0.00000,0.00226,0.00154,0.00323,0.12076,0.24078,0.00493,0.00400,0.00075,0.00018,0.00327,0.00086,0.00263,0.00309,0.00549,0.00807,0.00000,0.00447,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.796,2025-10-08T00:05:58.2538440Z,638954787582538640,STEVEN100725C,Rod and Frame Pretest,LeftBlink: 0.02589,Dominant Shape: XR_EYE_EXPRESSION_LEFT_DOWN_HTC (0.2033),0.00000,0.00115,0.00007,0.00543,0.00037,0.00000,0.04814,0.03292,0.00000,0.00114,0.00222,0.00360,0.11322,0.24125,0.00516,0.00312,0.00038,0.00009,0.00560,0.00043,0.00380,0.00155,0.00378,0.00755,0.00000,0.00369,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
