Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Eye_Expression_Summary,Eye_Shape_Summary,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Raiser_Right,Mouth_Raiser_Left,Mouth_Stretcher_Right,Mouth_Stretcher_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_Upright,Mouth_Upper_Upleft,Mouth_Lower_Downright,Mouth_Lower_Downleft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_Upright_Morph,Tongue_Upleft_Morph,Tongue_Downright_Morph,Tongue_Downleft_Morph
306.935,2025-10-08T00:09:31.3924980Z,638954789713925030,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00113,0.00023,0.00004,0.00646,0.00000,0.00057,0.00134,0.00575,0.00004,0.00111,0.00035,0.00371,0.10108,0.10063,0.00582,0.00386,0.00386,0.00000,0.00000,0.00246,0.00464,0.00599,0.00433,0.00731,0.00057,0.00294,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
306.965,2025-10-08T00:09:31.4227830Z,638954789714227860,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00094,0.00051,0.00002,0.00638,0.00000,0.00061,0.00067,0.00296,0.00002,0.00055,0.00018,0.00384,0.10437,0.10498,0.00561,0.00462,0.00441,0.00000,0.00000,0.00371,0.00336,0.00548,0.00610,0.00615,0.00131,0.00395,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
306.998,2025-10-08T00:09:31.4550890Z,638954789714550940,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00176,0.00026,0.00001,0.00601,0.00000,0.00044,0.00312,0.00462,0.00001,0.00028,0.00009,0.00275,0.10312,0.10095,0.00707,0.00501,0.00366,0.00000,0.00000,0.00186,0.00271,0.00523,0.00451,0.00659,0.00066,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.029,2025-10-08T00:09:31.4862710Z,638954789714862740,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00153,0.00013,0.00001,0.00615,0.00000,0.00041,0.00354,0.00761,0.00001,0.00159,0.00149,0.00254,0.10025,0.09772,0.00624,0.00520,0.00184,0.00000,0.00000,0.00341,0.00384,0.00510,0.00474,0.00578,0.00033,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.062,2025-10-08T00:09:31.5197150Z,638954789715197180,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00141,0.00006,0.00000,0.00507,0.00000,0.00053,0.00178,0.01216,0.00000,0.00327,0.00075,0.00326,0.11078,0.10558,0.00739,0.00530,0.00092,0.00000,0.00000,0.00171,0.00440,0.00504,0.00486,0.00786,0.00017,0.00076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.087,2025-10-08T00:09:31.5446290Z,638954789715446310,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00135,0.00003,0.00000,0.00651,0.00000,0.00027,0.00565,0.00834,0.00000,0.00164,0.00038,0.00279,0.10223,0.10046,0.00640,0.00534,0.00149,0.00000,0.00000,0.00231,0.00469,0.00398,0.00491,0.00745,0.00008,0.00183,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.121,2025-10-08T00:09:31.5780540Z,638954789715780600,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00132,0.00002,0.00091,0.00723,0.00000,0.00033,0.00481,0.01164,0.00000,0.00082,0.00019,0.00256,0.10560,0.10224,0.00590,0.00537,0.00075,0.00000,0.00000,0.00261,0.00483,0.00447,0.00392,0.00724,0.00004,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.154,2025-10-08T00:09:31.6112000Z,638954789716112040,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00130,0.00001,0.00046,0.00561,0.00000,0.00030,0.00520,0.00808,0.00000,0.00041,0.00154,0.00327,0.10150,0.09982,0.00610,0.00584,0.00285,0.00000,0.00000,0.00131,0.00490,0.00575,0.00547,0.00611,0.00002,0.00243,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.188,2025-10-08T00:09:31.6452200Z,638954789716452230,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00129,0.00000,0.00023,0.00596,0.00000,0.00015,0.01036,0.00935,0.00000,0.00021,0.00078,0.00164,0.10458,0.10228,0.00575,0.00404,0.00391,0.00000,0.00000,0.00313,0.00494,0.00536,0.00625,0.00802,0.00001,0.00267,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.219,2025-10-08T00:09:31.6767750Z,638954789716767770,STEVEN100725C,Smooth Pursuit Circle Pattern,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00129,0.00000,0.00011,0.00695,0.00000,0.00008,0.00996,0.01303,0.00000,0.00010,0.00184,0.00082,0.10576,0.10213,0.00669,0.00472,0.00196,0.00000,0.00164,0.00405,0.00393,0.00517,0.00561,0.00650,0.00103,0.00134,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
