Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Head_Position_X,Head_Position_Y,Head_Position_Z,Head_Rotation_W,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Head_Velocity_X,Head_Velocity_Y,Head_Velocity_Z,Head_AngularVelocity_X,Head_AngularVelocity_Y,Head_AngularVelocity_Z,Head_Acceleration_X,Head_Acceleration_Y,Head_Acceleration_Z,Head_AngularAcceleration_X,Head_AngularAcceleration_Y,Head_AngularAcceleration_Z
462.077,2025-10-08T00:12:06.5347520Z,638954791265347570,STEVEN100725C,Rapid Scanning Task,0.00104,1.05438,0.04768,0.99926,-0.03622,0.01234,0.00260,-0.00229,-0.00008,0.00011,0.00149,-0.03771,0.01349,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.180,2025-10-08T00:12:06.6369270Z,638954791266369310,STEVEN100725C,Rapid Scanning Task,0.00093,1.05440,0.04767,0.99926,-0.03649,0.01139,0.00293,0.00151,0.00031,-0.00025,-0.00633,0.02264,-0.01280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.194,2025-10-08T00:12:06.6510000Z,638954791266510050,STEVEN100725C,Rapid Scanning Task,0.00096,1.05441,0.04766,0.99926,-0.03658,0.01166,0.00286,0.00226,0.00037,-0.00030,-0.00746,0.03813,-0.01197,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.214,2025-10-08T00:12:06.6713920Z,638954791266713950,STEVEN100725C,Rapid Scanning Task,0.00101,1.05442,0.04765,0.99925,-0.03667,0.01209,0.00275,0.00290,0.00026,-0.00024,-0.00511,0.05114,-0.01148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.238,2025-10-08T00:12:06.6953400Z,638954791266953440,STEVEN100725C,Rapid Scanning Task,0.00108,1.05443,0.04765,0.99924,-0.03674,0.01273,0.00261,0.00293,0.00033,-0.00030,-0.00664,0.05556,-0.00547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.260,2025-10-08T00:12:06.7177880Z,638954791267177940,STEVEN100725C,Rapid Scanning Task,0.00115,1.05443,0.04764,0.99923,-0.03682,0.01338,0.00247,0.00288,0.00035,-0.00032,-0.00709,0.05362,-0.00695,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.294,2025-10-08T00:12:06.7511130Z,638954791267511190,STEVEN100725C,Rapid Scanning Task,0.00126,1.05445,0.04763,0.99921,-0.03697,0.01423,0.00210,0.00300,0.00052,-0.00045,-0.01074,0.04925,-0.01850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.315,2025-10-08T00:12:06.7722670Z,638954791267722750,STEVEN100725C,Rapid Scanning Task,0.00132,1.05446,0.04762,0.99920,-0.03707,0.01470,0.00184,0.00199,0.00053,-0.00043,-0.01098,0.03754,-0.00414,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.341,2025-10-08T00:12:06.7985360Z,638954791267985400,STEVEN100725C,Rapid Scanning Task,0.00136,1.05446,0.04761,0.99919,-0.03715,0.01506,0.00171,0.00050,0.00036,-0.00027,-0.00748,0.01693,0.01115,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.365,2025-10-08T00:12:06.8220700Z,638954791268220750,STEVEN100725C,Rapid Scanning Task,0.00137,1.05447,0.04761,0.99919,-0.03716,0.01515,0.00175,-0.00083,0.00021,-0.00012,-0.00443,-0.00448,0.02016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.393,2025-10-08T00:12:06.8498900Z,638954791268498950,STEVEN100725C,Rapid Scanning Task,0.00134,1.05447,0.04761,0.99920,-0.03717,0.01495,0.00195,-0.00227,0.00020,-0.00008,-0.00427,-0.02852,0.02797,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.415,2025-10-08T00:12:06.8726570Z,638954791268726620,STEVEN100725C,Rapid Scanning Task,0.00128,1.05447,0.04762,0.99920,-0.03715,0.01456,0.00221,-0.00315,-0.00011,0.00016,0.00211,-0.04477,0.03048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.439,2025-10-08T00:12:06.8962150Z,638954791268962240,STEVEN100725C,Rapid Scanning Task,0.00120,1.05446,0.04762,0.99921,-0.03707,0.01394,0.00257,-0.00369,-0.00060,0.00052,0.01233,-0.05811,0.02674,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.472,2025-10-08T00:12:06.9293080Z,638954791269293130,STEVEN100725C,Rapid Scanning Task,0.00107,1.05443,0.04764,0.99923,-0.03681,0.01298,0.00307,-0.00367,-0.00061,0.00051,0.01244,-0.05545,0.03034,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.493,2025-10-08T00:12:06.9504140Z,638954791269504200,STEVEN100725C,Rapid Scanning Task,0.00099,1.05443,0.04765,0.99924,-0.03676,0.01245,0.00350,-0.00313,0.00048,-0.00027,-0.01052,-0.04343,0.03157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.515,2025-10-08T00:12:06.9725170Z,638954791269725200,STEVEN100725C,Rapid Scanning Task,0.00094,1.05446,0.04763,0.99923,-0.03705,0.01213,0.00391,-0.00155,0.00248,-0.00172,-0.05220,-0.01611,0.02288,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.541,2025-10-08T00:12:06.9984320Z,638954791269984350,STEVEN100725C,Rapid Scanning Task,0.00093,1.05461,0.04752,0.99917,-0.03868,0.01232,0.00431,0.00095,0.00898,-0.00641,-0.18885,0.04530,0.03633,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.573,2025-10-08T00:12:07.0301530Z,638954791270301590,STEVEN100725C,Rapid Scanning Task,0.00101,1.05499,0.04725,0.99899,-0.04264,0.01363,0.00487,0.00447,0.01371,-0.01000,-0.28914,0.11961,0.03728,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.597,2025-10-08T00:12:07.0542940Z,638954791270542970,STEVEN100725C,Rapid Scanning Task,0.00116,1.05534,0.04699,0.99879,-0.04633,0.01547,0.00531,0.00836,0.01604,-0.01198,-0.33945,0.20164,0.04003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.617,2025-10-08T00:12:07.0742570Z,638954791270742610,STEVEN100725C,Rapid Scanning Task,0.00140,1.05571,0.04671,0.99855,-0.05029,0.01826,0.00568,0.01653,0.02212,-0.01702,-0.46995,0.38146,0.05722,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.649,2025-10-08T00:12:07.1062630Z,638954791271062690,STEVEN100725C,Rapid Scanning Task,0.00222,1.05666,0.04595,0.99775,-0.06038,0.02829,0.00765,0.02829,0.03295,-0.02705,-0.70860,0.74088,0.22881,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
