Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Eye_Expression_Summary,Eye_Shape_Summary,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Raiser_Right,Mouth_Raiser_Left,Mouth_Stretcher_Right,Mouth_Stretcher_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_Upright,Mouth_Upper_Upleft,Mouth_Lower_Downright,Mouth_Lower_Downleft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_Upright_Morph,Tongue_Upleft_Morph,Tongue_Downright_Morph,Tongue_Downleft_Morph
462.077,2025-10-08T00:12:06.5344750Z,638954791265344820,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00067,0.00093,0.00001,0.00565,0.00002,0.00000,0.01819,0.00278,0.00148,0.00117,0.00395,0.00506,0.08627,0.12125,0.00716,0.00433,0.00110,0.00121,0.00000,0.00499,0.00570,0.00980,0.00751,0.00693,0.00145,0.00454,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.180,2025-10-08T00:12:06.6370520Z,638954791266370540,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00083,0.00074,0.00000,0.00545,0.00000,0.00000,0.02007,0.00099,0.00316,0.00047,0.00206,0.00469,0.10396,0.18014,0.00516,0.00411,0.00327,0.00011,0.00000,0.00115,0.00410,0.00999,0.00844,0.00714,0.00013,0.00318,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.194,2025-10-08T00:12:06.6511310Z,638954791266511330,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00102,0.00052,0.00000,0.00618,0.00000,0.00000,0.01920,0.00312,0.00224,0.00033,0.00146,0.00448,0.10264,0.16386,0.00680,0.00449,0.00232,0.00008,0.00000,0.00371,0.00581,0.00997,0.00888,0.00651,0.00009,0.00370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.214,2025-10-08T00:12:06.6715120Z,638954791266715140,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00072,0.00087,0.00000,0.00670,0.00000,0.00000,0.01859,0.00221,0.00218,0.00024,0.00248,0.00549,0.10171,0.17261,0.00639,0.00475,0.00309,0.00005,0.00000,0.00408,0.00701,0.00997,0.00919,0.00751,0.00151,0.00407,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.238,2025-10-08T00:12:06.6954670Z,638954791266954690,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00109,0.00044,0.00000,0.00616,0.00000,0.00000,0.02085,0.00111,0.00210,0.00012,0.00125,0.00590,0.09230,0.13924,0.00589,0.00350,0.00155,0.00105,0.00000,0.00452,0.00600,0.01098,0.00956,0.00770,0.00076,0.00452,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.261,2025-10-08T00:12:06.7179140Z,638954791267179180,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00077,0.00081,0.00000,0.00669,0.00000,0.00000,0.01976,0.00321,0.00149,0.00008,0.00233,0.00534,0.09873,0.15952,0.00575,0.00248,0.00110,0.00075,0.00232,0.00465,0.00570,0.01213,0.00967,0.00835,0.00054,0.00320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.294,2025-10-08T00:12:06.7512430Z,638954791267512450,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00069,0.00091,0.00145,0.00650,0.00000,0.00000,0.01332,0.00161,0.00449,0.00107,0.00220,0.00466,0.09165,0.13702,0.00557,0.00393,0.00303,0.00037,0.00116,0.00336,0.00636,0.00959,0.00836,0.00812,0.00027,0.00408,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.315,2025-10-08T00:12:06.7724220Z,638954791267724250,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00049,0.00115,0.00103,0.00576,0.00000,0.00000,0.01143,0.00114,0.00377,0.00076,0.00301,0.00446,0.09102,0.12896,0.00552,0.00436,0.00359,0.00027,0.00082,0.00238,0.00596,0.00969,0.00737,0.00865,0.00019,0.00289,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.341,2025-10-08T00:12:06.7986570Z,638954791267986590,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00055,0.00108,0.00051,0.00487,0.00000,0.00000,0.01638,0.00057,0.00757,0.00141,0.00399,0.00504,0.08180,0.11673,0.00546,0.00330,0.00180,0.00013,0.00041,0.00367,0.00692,0.00982,0.00720,0.00929,0.00010,0.00393,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
462.365,2025-10-08T00:12:06.8226410Z,638954791268226460,STEVEN100725C,Rapid Scanning Task,LeftBlink: 0.00000,Dominant Shape: XR_EYE_EXPRESSION_LEFT_BLINK_HTC (0.0000),0.00039,0.00127,0.00036,0.00577,0.00000,0.00000,0.01959,0.00591,0.00536,0.00100,0.00427,0.00473,0.08114,0.11313,0.00544,0.00391,0.00273,0.00009,0.00029,0.00405,0.00635,0.00840,0.00655,0.00948,0.00007,0.00278,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
