Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Head_Position_X,Head_Position_Y,Head_Position_Z,Head_Rotation_W,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Head_Velocity_X,Head_Velocity_Y,Head_Velocity_Z,Head_AngularVelocity_X,Head_AngularVelocity_Y,Head_AngularVelocity_Z,Head_Acceleration_X,Head_Acceleration_Y,Head_Acceleration_Z,Head_AngularAcceleration_X,Head_AngularAcceleration_Y,Head_AngularAcceleration_Z
1039.852,2025-10-08T00:21:44.3096590Z,638954797043096610,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05534,0.04699,0.99878,-0.04632,-0.01603,-0.00638,-0.00002,0.00016,-0.00012,-0.00337,-0.00364,-0.00537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.870,2025-10-08T00:21:44.3277200Z,638954797043277240,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05534,0.04699,0.99878,-0.04635,-0.01605,-0.00648,0.00029,0.00023,-0.00016,-0.00503,0.00144,-0.00699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.890,2025-10-08T00:21:44.3476770Z,638954797043476850,STEVEN100725C,Rod and Frame Postest,-0.00113,1.05535,0.04699,0.99877,-0.04639,-0.01604,-0.00655,0.00006,0.00025,-0.00019,-0.00542,-0.00017,-0.00206,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.903,2025-10-08T00:21:44.3599320Z,638954797043599380,STEVEN100725C,Rod and Frame Postest,-0.00113,1.05535,0.04698,0.99877,-0.04643,-0.01604,-0.00657,-0.00002,0.00035,-0.00026,-0.00739,-0.00011,0.00077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.925,2025-10-08T00:21:44.3821490Z,638954797043821530,STEVEN100725C,Rod and Frame Postest,-0.00113,1.05535,0.04698,0.99877,-0.04650,-0.01607,-0.00661,-0.00010,0.00028,-0.00021,-0.00588,-0.00402,-0.00316,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.938,2025-10-08T00:21:44.3953620Z,638954797043953660,STEVEN100725C,Rod and Frame Postest,-0.00113,1.05536,0.04698,0.99876,-0.04654,-0.01609,-0.00665,-0.00001,0.00022,-0.00016,-0.00469,-0.00269,-0.00402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.957,2025-10-08T00:21:44.4144690Z,638954797044144760,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05536,0.04697,0.99876,-0.04657,-0.01614,-0.00668,-0.00029,0.00006,-0.00005,-0.00111,-0.00624,-0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.980,2025-10-08T00:21:44.4376880Z,638954797044376970,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05536,0.04697,0.99876,-0.04656,-0.01619,-0.00669,-0.00030,-0.00007,0.00004,0.00147,-0.00487,0.00181,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1039.992,2025-10-08T00:21:44.4490240Z,638954797044490320,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05536,0.04697,0.99876,-0.04654,-0.01622,-0.00669,-0.00021,-0.00014,0.00010,0.00296,-0.00327,0.00131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.014,2025-10-08T00:21:44.4714110Z,638954797044714180,STEVEN100725C,Rod and Frame Postest,-0.00115,1.05536,0.04698,0.99876,-0.04650,-0.01625,-0.00667,-0.00010,-0.00026,0.00019,0.00563,-0.00141,0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.027,2025-10-08T00:21:44.4842530Z,638954797044842570,STEVEN100725C,Rod and Frame Postest,-0.00115,1.05535,0.04698,0.99876,-0.04648,-0.01625,-0.00667,-0.00007,-0.00021,0.00015,0.00438,-0.00032,0.00150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.047,2025-10-08T00:21:44.5047200Z,638954797045047240,STEVEN100725C,Rod and Frame Postest,-0.00115,1.05535,0.04698,0.99877,-0.04644,-0.01625,-0.00666,0.00001,-0.00024,0.00018,0.00518,0.00155,0.00201,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.069,2025-10-08T00:21:44.5266100Z,638954797045266150,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05535,0.04698,0.99877,-0.04639,-0.01622,-0.00666,0.00012,-0.00011,0.00009,0.00236,0.00274,0.00039,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.082,2025-10-08T00:21:44.5391000Z,638954797045391070,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05534,0.04699,0.99877,-0.04638,-0.01620,-0.00667,0.00010,-0.00003,0.00003,0.00069,0.00294,0.00157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.103,2025-10-08T00:21:44.5606760Z,638954797045606820,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05534,0.04699,0.99877,-0.04638,-0.01615,-0.00664,0.00007,0.00008,-0.00006,-0.00173,0.00457,0.00522,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1040.116,2025-10-08T00:21:44.5734970Z,638954797045735010,STEVEN100725C,Rod and Frame Postest,-0.00114,1.05535,0.04698,0.99877,-0.04639,-0.01612,-0.00663,0.00004,0.00015,-0.00011,-0.00329,0.00341,0.00462,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
