Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Head_Position_X,Head_Position_Y,Head_Position_Z,Head_Rotation_W,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Head_Velocity_X,Head_Velocity_Y,Head_Velocity_Z,Head_AngularVelocity_X,Head_AngularVelocity_Y,Head_AngularVelocity_Z,Head_Acceleration_X,Head_Acceleration_Y,Head_Acceleration_Z,Head_AngularAcceleration_X,Head_AngularAcceleration_Y,Head_AngularAcceleration_Z
306.935,2025-10-08T00:09:31.3927240Z,638954789713927260,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00082,1.05565,0.04677,0.99873,-0.04972,0.00825,-0.00033,-0.00085,-0.00114,0.00087,0.02448,-0.00951,0.01290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
306.965,2025-10-08T00:09:31.4226420Z,638954789714226450,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00079,1.05561,0.04680,0.99875,-0.04931,0.00807,-0.00008,-0.00091,-0.00055,0.00042,0.01170,-0.01142,0.01157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
306.977,2025-10-08T00:09:31.4347390Z,638954789714347420,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00078,1.05560,0.04680,0.99876,-0.04922,0.00801,0.00000,-0.00080,-0.00035,0.00027,0.00749,-0.01051,0.00917,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
306.999,2025-10-08T00:09:31.4562530Z,638954789714562600,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00076,1.05560,0.04681,0.99876,-0.04914,0.00791,0.00009,-0.00081,-0.00020,0.00017,0.00438,-0.01170,0.00764,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.010,2025-10-08T00:09:31.4670310Z,638954789714670350,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00075,1.05559,0.04681,0.99876,-0.04911,0.00785,0.00014,-0.00077,-0.00010,0.00009,0.00212,-0.01130,0.00676,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.029,2025-10-08T00:09:31.4868420Z,638954789714868450,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00074,1.05559,0.04681,0.99876,-0.04910,0.00774,0.00021,-0.00076,0.00016,-0.00010,-0.00331,-0.01198,0.00520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.042,2025-10-08T00:09:31.4991620Z,638954789714991650,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00073,1.05559,0.04681,0.99876,-0.04912,0.00768,0.00025,-0.00056,0.00025,-0.00018,-0.00542,-0.00975,0.00226,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.063,2025-10-08T00:09:31.5203870Z,638954789715203900,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00072,1.05560,0.04680,0.99876,-0.04920,0.00759,0.00030,-0.00037,0.00038,-0.00028,-0.00817,-0.00616,0.00179,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.087,2025-10-08T00:09:31.5445050Z,638954789715445080,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00071,1.05561,0.04680,0.99876,-0.04930,0.00754,0.00029,0.00017,0.00029,-0.00022,-0.00624,-0.00099,-0.00739,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.099,2025-10-08T00:09:31.5564300Z,638954789715564330,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00071,1.05562,0.04679,0.99875,-0.04935,0.00754,0.00027,0.00014,0.00040,-0.00030,-0.00859,0.00029,-0.00419,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.121,2025-10-08T00:09:31.5788220Z,638954789715788260,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00072,1.05563,0.04678,0.99875,-0.04948,0.00755,0.00025,0.00009,0.00047,-0.00035,-0.01001,0.00158,-0.00042,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.134,2025-10-08T00:09:31.5910930Z,638954789715910970,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00072,1.05564,0.04678,0.99874,-0.04956,0.00757,0.00024,0.00006,0.00038,-0.00028,-0.00805,0.00158,0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.155,2025-10-08T00:09:31.6120280Z,638954789716120320,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00072,1.05564,0.04677,0.99874,-0.04966,0.00760,0.00023,0.00021,0.00039,-0.00030,-0.00843,0.00289,-0.00247,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.168,2025-10-08T00:09:31.6249320Z,638954789716249360,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00073,1.05565,0.04677,0.99873,-0.04972,0.00763,0.00020,0.00033,0.00024,-0.00019,-0.00517,0.00464,-0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.189,2025-10-08T00:09:31.6458920Z,638954789716458960,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00073,1.05565,0.04676,0.99873,-0.04977,0.00768,0.00014,0.00038,0.00001,-0.00001,-0.00019,0.00512,-0.00413,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.219,2025-10-08T00:09:31.6766090Z,638954789716766120,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00075,1.05565,0.04677,0.99873,-0.04970,0.00774,0.00007,0.00033,-0.00043,0.00031,0.00917,0.00417,-0.00379,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.233,2025-10-08T00:09:31.6907820Z,638954789716907850,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00075,1.05564,0.04677,0.99874,-0.04965,0.00777,0.00004,0.00041,-0.00049,0.00036,0.01048,0.00590,-0.00362,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.259,2025-10-08T00:09:31.7164370Z,638954789717164410,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00076,1.05563,0.04678,0.99874,-0.04950,0.00784,-0.00004,0.00016,-0.00053,0.00039,0.01124,0.00306,-0.00011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.276,2025-10-08T00:09:31.7332800Z,638954789717332850,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00077,1.05562,0.04679,0.99875,-0.04940,0.00788,-0.00006,0.00021,-0.00056,0.00042,0.01205,0.00567,0.00258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.287,2025-10-08T00:09:31.7446230Z,638954789717446260,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00077,1.05561,0.04680,0.99875,-0.04932,0.00789,-0.00006,-0.00001,-0.00052,0.00039,0.01108,0.00169,0.00335,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.312,2025-10-08T00:09:31.7690530Z,638954789717690560,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00077,1.05560,0.04681,0.99876,-0.04917,0.00789,-0.00008,-0.00040,-0.00028,0.00022,0.00608,-0.00428,0.00631,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.324,2025-10-08T00:09:31.7818250Z,638954789717818280,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00077,1.05559,0.04681,0.99876,-0.04912,0.00786,-0.00005,-0.00067,-0.00001,0.00002,0.00016,-0.00727,0.01012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.342,2025-10-08T00:09:31.7992190Z,638954789717992220,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00075,1.05559,0.04681,0.99876,-0.04911,0.00778,0.00000,-0.00084,0.00023,-0.00015,-0.00480,-0.01088,0.00980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.377,2025-10-08T00:09:31.8342090Z,638954789718342130,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00071,1.05559,0.04681,0.99876,-0.04912,0.00748,0.00017,-0.00163,-0.00008,0.00009,0.00178,-0.02259,0.01674,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.397,2025-10-08T00:09:31.8543440Z,638954789718543460,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00069,1.05559,0.04681,0.99877,-0.04910,0.00730,0.00034,-0.00149,-0.00014,0.00012,0.00292,-0.02036,0.01578,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.409,2025-10-08T00:09:31.8659000Z,638954789718659030,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00066,1.05559,0.04681,0.99877,-0.04908,0.00717,0.00047,-0.00119,-0.00005,0.00006,0.00112,-0.01653,0.01200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
307.430,2025-10-08T00:09:31.8871290Z,638954789718871320,STEVEN100725C,Smooth Pursuit Circle Pattern,0.00064,1.05559,0.04681,0.99877,-0.04911,0.00704,0.00059,-0.00061,0.00015,-0.00010,-0.00319,-0.01051,0.00282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
