Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Head_Position_X,Head_Position_Y,Head_Position_Z,Head_Rotation_W,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Head_Velocity_X,Head_Velocity_Y,Head_Velocity_Z,Head_AngularVelocity_X,Head_AngularVelocity_Y,Head_AngularVelocity_Z,Head_Acceleration_X,Head_Acceleration_Y,Head_Acceleration_Z,Head_AngularAcceleration_X,Head_AngularAcceleration_Y,Head_AngularAcceleration_Z
93.354,2025-10-08T00:05:57.8112100Z,638954787578112160,STEVEN100725C,Rod and Frame Pretest,-0.00204,1.05400,0.04791,0.99927,-0.03239,-0.01999,0.00125,0.00135,-0.00028,0.00025,0.00592,0.02220,-0.00813,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.371,2025-10-08T00:05:57.8279760Z,638954787578279820,STEVEN100725C,Rod and Frame Pretest,-0.00199,1.05400,0.04792,0.99928,-0.03236,-0.01957,0.00121,0.00182,0.00006,0.00004,-0.00108,0.03292,-0.00577,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.383,2025-10-08T00:05:57.8398640Z,638954787578398720,STEVEN100725C,Rod and Frame Pretest,-0.00197,1.05400,0.04792,0.99929,-0.03236,-0.01933,0.00113,0.00195,0.00023,-0.00008,-0.00465,0.03237,-0.01080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.397,2025-10-08T00:05:57.8547190Z,638954787578547230,STEVEN100725C,Rod and Frame Pretest,-0.00194,1.05400,0.04792,0.99929,-0.03237,-0.01914,0.00105,0.00174,0.00020,-0.00007,-0.00414,0.02940,-0.00884,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.418,2025-10-08T00:05:57.8751510Z,638954787578751590,STEVEN100725C,Rod and Frame Pretest,-0.00190,1.05400,0.04792,0.99930,-0.03235,-0.01886,0.00083,0.00113,0.00006,0.00000,-0.00119,0.01365,-0.01486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.439,2025-10-08T00:05:57.8966620Z,638954787578966710,STEVEN100725C,Rod and Frame Pretest,-0.00188,1.05399,0.04793,0.99930,-0.03223,-0.01887,0.00045,-0.00016,-0.00026,0.00017,0.00545,-0.01759,-0.02424,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.450,2025-10-08T00:05:57.9077420Z,638954787579077460,STEVEN100725C,Rod and Frame Pretest,-0.00188,1.05398,0.04793,0.99930,-0.03214,-0.01903,0.00023,-0.00093,-0.00050,0.00031,0.01030,-0.03318,-0.02476,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.473,2025-10-08T00:05:57.9300780Z,638954787579300820,STEVEN100725C,Rod and Frame Pretest,-0.00192,1.05396,0.04795,0.99930,-0.03190,-0.01959,-0.00005,-0.00264,-0.00108,0.00064,0.02251,-0.06215,-0.01633,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.486,2025-10-08T00:05:57.9432880Z,638954787579432990,STEVEN100725C,Rod and Frame Pretest,-0.00195,1.05394,0.04796,0.99930,-0.03173,-0.01998,-0.00019,-0.00267,-0.00133,0.00081,0.02759,-0.06851,-0.02645,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.509,2025-10-08T00:05:57.9664330Z,638954787579664390,STEVEN100725C,Rod and Frame Pretest,-0.00200,1.05391,0.04798,0.99929,-0.03134,-0.02070,-0.00053,-0.00217,-0.00182,0.00116,0.03783,-0.06210,-0.03297,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.532,2025-10-08T00:05:57.9891390Z,638954787579891430,STEVEN100725C,Rod and Frame Pretest,-0.00205,1.05386,0.04801,0.99929,-0.03087,-0.02138,-0.00076,-0.00219,-0.00175,0.00111,0.03644,-0.05076,-0.01338,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.545,2025-10-08T00:05:58.0022880Z,638954787580022930,STEVEN100725C,Rod and Frame Pretest,-0.00208,1.05384,0.04802,0.99929,-0.03065,-0.02169,-0.00074,-0.00209,-0.00144,0.00090,0.03006,-0.04014,0.00128,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.562,2025-10-08T00:05:58.0194310Z,638954787580194350,STEVEN100725C,Rod and Frame Pretest,-0.00212,1.05382,0.04803,0.99930,-0.03045,-0.02194,-0.00057,-0.00141,-0.00088,0.00054,0.01824,-0.01904,0.01441,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.585,2025-10-08T00:05:58.0426260Z,638954787580426310,STEVEN100725C,Rod and Frame Pretest,-0.00214,1.05381,0.04804,0.99930,-0.03035,-0.02193,-0.00021,0.00006,-0.00031,0.00022,0.00649,0.01409,0.02105,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.599,2025-10-08T00:05:58.0565070Z,638954787580565110,STEVEN100725C,Rod and Frame Pretest,-0.00214,1.05381,0.04804,0.99930,-0.03032,-0.02176,0.00003,0.00080,-0.00024,0.00020,0.00500,0.02897,0.02132,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.618,2025-10-08T00:05:58.0750710Z,638954787580750760,STEVEN100725C,Rod and Frame Pretest,-0.00212,1.05380,0.04805,0.99931,-0.03025,-0.02146,0.00025,0.00142,-0.00035,0.00030,0.00727,0.03825,0.01611,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.631,2025-10-08T00:05:58.0883390Z,638954787580883440,STEVEN100725C,Rod and Frame Pretest,-0.00211,1.05379,0.04805,0.99932,-0.03019,-0.02123,0.00035,0.00163,-0.00052,0.00043,0.01089,0.03978,0.01138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.653,2025-10-08T00:05:58.1101170Z,638954787581101230,STEVEN100725C,Rod and Frame Pretest,-0.00206,1.05378,0.04807,0.99934,-0.03000,-0.02072,0.00047,0.00210,-0.00085,0.00067,0.01780,0.04625,0.00634,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.675,2025-10-08T00:05:58.1324090Z,638954787581324180,STEVEN100725C,Rod and Frame Pretest,-0.00202,1.05375,0.04808,0.99935,-0.02978,-0.02023,0.00054,0.00204,-0.00094,0.00073,0.01957,0.04555,0.00707,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.686,2025-10-08T00:05:58.1434060Z,638954787581434110,STEVEN100725C,Rod and Frame Pretest,-0.00200,1.05374,0.04809,0.99936,-0.02968,-0.01997,0.00059,0.00190,-0.00081,0.00063,0.01689,0.04339,0.00810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.709,2025-10-08T00:05:58.1659480Z,638954787581659530,STEVEN100725C,Rod and Frame Pretest,-0.00195,1.05373,0.04810,0.99937,-0.02951,-0.01949,0.00056,0.00215,-0.00051,0.00044,0.01068,0.04119,-0.00362,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.721,2025-10-08T00:05:58.1784180Z,638954787581784210,STEVEN100725C,Rod and Frame Pretest,-0.00192,1.05372,0.04811,0.99938,-0.02941,-0.01923,0.00047,0.00191,-0.00049,0.00041,0.01033,0.03371,-0.00807,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.742,2025-10-08T00:05:58.1990950Z,638954787581990990,STEVEN100725C,Rod and Frame Pretest,-0.00188,1.05371,0.04812,0.99939,-0.02930,-0.01898,0.00033,0.00139,-0.00049,0.00039,0.01015,0.02407,-0.00649,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.764,2025-10-08T00:05:58.2210700Z,638954787582210780,STEVEN100725C,Rod and Frame Pretest,-0.00185,1.05370,0.04813,0.99940,-0.02917,-0.01878,0.00017,0.00054,-0.00034,0.00025,0.00704,0.00968,-0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.775,2025-10-08T00:05:58.2323990Z,638954787582324040,STEVEN100725C,Rod and Frame Pretest,-0.00185,1.05369,0.04813,0.99940,-0.02911,-0.01875,0.00011,0.00005,-0.00029,0.00020,0.00600,0.00020,-0.00147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.797,2025-10-08T00:05:58.2548370Z,638954787582548440,STEVEN100725C,Rod and Frame Pretest,-0.00185,1.05368,0.04814,0.99940,-0.02898,-0.01878,0.00004,-0.00025,-0.00042,0.00027,0.00861,-0.00571,-0.00166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.809,2025-10-08T00:05:58.2659930Z,638954787582659980,STEVEN100725C,Rod and Frame Pretest,-0.00185,1.05367,0.04815,0.99941,-0.02891,-0.01881,0.00001,-0.00028,-0.00044,0.00029,0.00913,-0.00545,-0.00011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.831,2025-10-08T00:05:58.2884570Z,638954787582884600,STEVEN100725C,Rod and Frame Pretest,-0.00185,1.05366,0.04815,0.99941,-0.02880,-0.01888,-0.00003,-0.00052,-0.00019,0.00011,0.00400,-0.00793,0.00390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93.843,2025-10-08T00:05:58.3001850Z,638954787583001940,STEVEN100725C,Rod and Frame Pretest,-0.00186,1.05366,0.04816,0.99941,-0.02877,-0.01892,-0.00001,-0.00065,-0.00006,0.00002,0.00121,-0.00797,0.00836,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
